"Deptcode","Department Name English - Public Accounts","Department Name Fench - Public Accounts","Applied Title (English)","Applied Title (French)","Legal Title (English)","Legal Title (French)","Ministerial Portfolio (English)","Ministerial Portfolio (French)","Appropriate Minister 1 - Name (English)","Appropriate Minister 1 - Title (English)","Appropriate Minister 2 - Name (English)","Appropriate Minister 2 - Title (English)","Appropriate Minister 3 - Name (English)","Appropriate Minister 3 - Title (English)","Appropriate Minister 1 - Name (French)","Appropriate Minister 1 - Title (French)","Appropriate Minister 2 - Name (French)","Appropriate Minister 2 - Title (French)","Appropriate Minister 3 - Name (French)","Appropriate Minister 3 - Title (French)","Institutional Head (English)","Institutional Head (French)","Mandate (English) [HTML]","Mandate (French) [HTML]","Institutional Form (English)","Institutional Form (French)","Enabling Instrument (English) [HTML]","Enabling Instrument (French) [HTML]","Website (English)","Website (French)"
,,,"International Lake of the Woods Control Board","NULL","International Lake of the Woods Control Board","Conseil international de contrôle du lac des Bois","Environment","Environnement","Kent, Peter (Hon.)","Minister of the Environment","NULL","NULL","NULL","NULL","Kent, Peter (L'hon.)","ministre de l'Environnement","NULL","NULL","NULL","NULL","Gail Faveri, P.Eng","Gail Faveri, ing.","<p>To approve the outflow from Lake of the Woods when the lake level is above or below certain specified elevations.</p>","<p>Approuver les d&#233;bits sortants du lac des Bois lorsque le niveau du lac est sup&#233;rieur ou inf&#233;rieur &#224; certaines &#233;l&#233;vations.</p>","International Organization","Organisations internationales","<p>The Board was created pursuant to the Canada&#8211;US Treaty, <em>Lake of the Woods Convention and Protocol</em>, 1925; implemented in Canada by the <em>Lake of the Woods Control Board Act</em>, C.C.S.M. c. L-30</p>","<p>Le Conseil a &#233;t&#233; cr&#233;&#233; conform&#233;ment &#224; un trait&#233; canado-am&#233;ricain, <em>Convention et protocole concernant le lac des Bois</em>, 1925; mis en &#339;uvre au Canada en vertu de la <em>Loi sur la commission de contr&#244;le du lac des Bois</em>, C.P.L.M. c. L30.</p>","www.ijc.org/conseil_board/wood_lake/en/wood_home_accueil.htm","www.ijc.org/conseil_board/wood_lake/en/wood_home_accueil.htm"
,,,"International Monetary Fund","NULL","International Monetary Fund","Fonds monétaire international","Finance","Finances","Flaherty, Jim (Hon.)","Minister of Finance","NULL","NULL","NULL","NULL","Flaherty, Jim (L'hon.)","ministre des Finances","NULL","NULL","NULL","NULL","Christine Lagarde, Managing Director","Christine Lagarde, directrice générale","<p>To promote international monetary cooperation, exchange stability, and orderly exchange arrangements; to foster economic growth and high levels of employment; and to provide temporary financial assistance to countries to help ease the balance of payments adjustment.</p>","<p>Promouvoir la coop&#233;ration mon&#233;taire internationale, garantir la stabilit&#233; financi&#232;re, faciliter les &#233;changes internationaux, contribuer &#224; la croissance &#233;conomique et &#224; un niveau &#233;lev&#233; d&#8217;emploi et fournir aux pays de l&#8217;aide financi&#232;re provisoire pour adoucir l&#8217;ajustement de la balance des paiements.</p>","International Organization","Organisations internationales","<p>Articles of Agreement of the International Monetary Fund, 1945; implemented in Canada by the <em>Bretton Woods and Related Agreements Act</em>, R.S.C. 1985, c. B-7</p>","<p>Articles de convention du Fonds mon&#233;taire international, 1945; mis en &#339;uvre au Canada en vertu de la <em>Loi sur les accords de Bretton Woods et des accords connexes</em>, L.R.C. 1985, ch. B-7</p>","www.imf.org","www.imf.org"
,,,"Inuvialuit Arbitration Board","NULL","Inuvialuit Arbitration Board","Commission d'arbitrage des Inuvialuit","Aboriginal Affairs and Northern Development","Affaires autochtones et du développement du Nord canadien","Duncan, John (Hon.)","Minister of Aboriginal Affairs and Northern Development","NULL","NULL","NULL","NULL","Duncan, John (L'hon.)","ministre des Affaires autochtones et du développement du Nord canadien","NULL","NULL","NULL","NULL","NULL","NULL","<p>The Arbitration Board was established under section 18 of the Inuvialuit Final Agreement&#160;to provide a mechanism to arbitrate disputes between the Inuvialuit and the governments of Canada, the Northwest Territories or Yukon, as well as between the Inuvialuit and industry.</p>","<p>La Commission d'arbitrage a &#233;t&#233; mise sur pied aux termes de l'article 18 de la Convention d&#233;finitive des Inuvialuits<em>&#160;</em>pour cr&#233;er un m&#233;canisme de r&#232;glement des diff&#233;rends entre les Inuvialuits et les gouvernements du Canada, des Territoires du Nord-Ouest ou du Yukon ainsi qu'entre les Inuvialuits et l'industrie.</p>","Statutory and Other Agency","Organismes créés par une loi et autres organismes","<p><em>Western Arctic (Inuvialuit) Claims Settlement Act, </em>S.C. 1984, c. 24</p>","<p><em>Loi sur le r&#232;glement des revendications des Inuvialuit de la r&#233;gion ouest de l&#8217;Arctique, </em>S.C. 1984, ch. 24</p>","www.aadnc-aandc.gc.ca/eng/1100100011114/1100100011115","www.aadnc-aandc.gc.ca/fra/1100100011114/1100100011115"
,,,"Lake of the Woods Control Board","NULL","Lake of the Woods Control Board","Commission de contrôle du lac des Bois","Environment","Environnement","Kent, Peter (Hon.)","Minister of the Environment","NULL","NULL","NULL","NULL","Kent, Peter (L'hon.)","ministre de l'Environnement","NULL","NULL","NULL","NULL","Gail Faveri, P.Eng.","Gail Faveri, ing.","<p>To regulate the water levels in the Lake of the Woods and Lac Seul and the flows in the Winnipeg and English Rivers downstream of these lakes to their junction, in accordance with international obligations and federal and provincial legislation.</p>","<p>R&#233;gulariser le niveau du lac des Bois et du lac Seul ainsi que le d&#233;bit dans les rivi&#232;res Winnipeg et English en aval de ces lacs &#224; leur confluent, conform&#233;ment aux engagements internationaux et aux lois f&#233;d&#233;rales et provinciales.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Lake of the Woods Control Board Act</em>, S.C. 1921, c. 10 <br /> <em>Lake of the Woods Convention and Protocol</em>, 1925.</p>","<p><em>Loi sur la Commission de contr&#244;le du lac des Bois</em>, L.C. 1921, ch. 10<br /> <em>Convention et protocole visant &#224; r&#233;gler le niveau du lac des Bois</em>, 1925</p>","www.lwcb.ca","www.lwcb.ca"
,,,"Last Post Fund","NULL","Last Post Fund","Fonds du Souvenir","Veterans Affairs","Anciens Combattants","Fantino, Julian (Hon.)","Minister of Veterans Affairs","NULL","NULL","NULL","NULL","Fantino, Julian (L'hon.)","ministre des Anciens Combattants","NULL","NULL","NULL","NULL","Daniel F. O'Connor, President","Daniel F. O'Connor, présidente","<p>To ensure the provision of a dignified funeral and burial to eligible war veterans.</p>","<p>Veiller &#224; fournir des&#160;fun&#233;railles dans la dignit&#233; aux anciens combattants admissibles</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p>Order-in-Council P.C. 1922-1581</p>","<p>D&#233;cret C.P. 1922-1581</p>","www.lastpostfund.ca","www.lastpostfund.ca"
,,,"Lower Churchill Development Corporation Limited","NULL","Lower Churchill Development Corporation Limited","Lower Churchill Development Corporation Limited","Natural Resources","Ressources naturelles","Oliver, Joe (Hon.)","Minister of Natural Resources","NULL","NULL","NULL","NULL","Oliver, Joe (L'hon.)","ministre des Ressources naturelles","NULL","NULL","NULL","NULL","Ed Martin, Chair","Ed Martin, président","<p>To establish a basis for the development of all or part of the hydroelectric potential of the Lower Churchill basin and the line transmission of this energy to markets.</p>","<p>&#201;tablir le mode de mise en valeur, en totalit&#233; ou en partie, du potentiel hydro&#233;lectrique du bassin inf&#233;rieur du fleuve Churchill et l&#8217;acheminement de cette &#233;nergie aux march&#233;s.</p>","Joint Enterprise","Entreprises en coparticipation","<p><em>Newfoundland Companies Act</em>, 1978</p>","<p><em>Newfoundland Companies Act</em>, 1978</p>","N.A.","N.A."
,,,"Maritime Forestry Complex Corporation","NULL","Maritime Forestry Complex Corporation","Société du complexe forestier des Maritimes","Natural Resources","Ressources naturelles","Oliver, Joe (Hon.)","Minister of Natural Resources","NULL","NULL","NULL","NULL","Oliver, Joe (L'hon.)","ministre des Ressources naturelles","NULL","NULL","NULL","NULL","Hon. Bruce Northrup, Chair","Hon. Bruce Northrup, président","<p>To develop, build, and operate a Maritime Provinces Regional Forestry Complex.</p>","<p>D&#233;velopper, construire et op&#233;rer un complexe forestier r&#233;gional pour les provinces maritimes.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Maritime Forestry Complex Corporation Act</em>, S.N.B. 1980, c. M-1.2</p>","<p><em>Loi sur la Soci&#233;t&#233; du complexe forestier des Maritimes</em>, L.N.B. 1980, ch. M-1.2</p>","N.A.","N.A."
,,,"Mental Health Commission of Canada","NULL","Mental Health Commission of Canada","Commission de la santé mentale du Canada","Health","Santé","Aglukkaq, Leona (Hon.)","Minister of Health","NULL","NULL","NULL","NULL","Aglukkaq, Leona (L'hon.)","ministre de la Santé","NULL","NULL","NULL","NULL","Louise Bradley, President and Chief Executive Officer","Louise Bradley, présidente et directrice générale","<p><br /> The Mental Health Commission of Canada (MHCC) is a catalyst for improving the mental health system and changing the attitudes and behaviours of Canadians around mental health issues. Through its unique mandate from Health Canada, the MHCC brings together leaders and organizations from across the country to accelerate these changes.</p> <p>&#160;</p> <p>The MHCC is funded by Health Canada and has a 10-year mandate (2007-2017). Among its initiatives, the MHCC&#8217;s work includes the country&#8217;s first mental health strategy, working to reduce stigma, advancing knowledge exchange in mental health, and examining how best to help people who are homeless and living with mental health problems.</p> <br />","<p>La Commission de la sant&#233; mentale du Canada exerce un r&#244;le moteur dans l&#8217;am&#233;lioration du syst&#232;me de la sant&#233; mentale et dans l&#8217;&#233;volution des attitudes et des comportements des Canadiens &#224; l&#8217;&#233;gard de la sant&#233; mentale. Par le mandat unique que lui a confi&#233; Sant&#233; Canada, elle r&#233;unit des acteurs influents et des organismes de partout au Canada en vue d&#8217;acc&#233;l&#233;rer ces changements.</p> <p>&#160;</p> <p>La Commission de la sant&#233; mentale du Canada est financ&#233;e par Sant&#233; Canada qui lui a confi&#233; un mandat de dix ans (2007 &#224; 2017). L&#8217;une de ses initiatives a consist&#233; &#224; &#233;laborer la premi&#232;re strat&#233;gie en mati&#232;re de sant&#233; mentale pour le Canada. Ses travaux portent aussi sur la lutte &#224; la stigmatisation, l&#8217;avancement de l&#8217;&#233;change de connaissances sur la sant&#233; mentale et les moyens les plus appropri&#233;s de venir en aide aux personnes itin&#233;rantes aux prises avec un trouble mental</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Not-for-profit Corporations Act</em>, S.C. 2009, c. 23</p>","<p><em>Loi canadienne sur les organisations &#224; but non lucratif</em>, L.C. 2009, ch. 23</p>","www.mentalhealthcommission.ca","www.commissionsantementale.ca"
,,,"Milit-Air Inc.","NULL","Milit-Air Inc.","Milit-Air Inc.","Public Works and Government Services","Travaux publics et Services gouvernementaux","Ambrose, Rona (Hon.)","Minister of Public Works and Government Services","NULL","NULL","NULL","NULL","Ambrose, Rona (L'hon.)","ministre des Travaux publics et des Services gouvernementaux","NULL","NULL","NULL","NULL","Robert T. Booth, Chief Executive Officer, President, and Chairman","Robert T. Booth, premier dirigeant et président","<p>To engage in activities that support the training of Canadian and foreign military pilots in Canada in a safe, secure, efficient, and cost-effective manner as prescribed by the NATO Flying Training in Canada program.</p>","<p>Entreprendre des activit&#233;s de formation des pilotes militaires canadiens et &#233;trangers au Canada de mani&#232;re s&#251;re, s&#233;curitaire, efficace et &#233;conomique, tel que prescrit dans le cadre du programme &#171; Entra&#238;nement en vol de l'OTAN au Canada &#187;.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32</p>","N.A.","N.A."
,,,"Montréal Port Authority","NULL","Montréal Port Authority","Administration portuaire de Montréal","Transport","Transports","Raitt, Lisa (Hon.)","Minister of Transport","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre des Transports","NULL","NULL","NULL","NULL","Sylvie Vachon, President and Chief Executive Officer","Sylvie Vachon, présidente-directrice générale","<p>To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and the community in which the port is located.</p>","<p>G&#233;rer l&#8217;infrastructure et les services maritimes sur une base commerciale tout en favorisant la participation des utilisateurs du port et de la collectivit&#233; dans laquelle il est situ&#233; et en tenant compte de leurs opinions.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Marine Act</em>, S.C. 1998, c. 10</p>","<p><em>Loi maritime du Canada</em>, L.C. 1998, ch. 10</p>","www.port-montreal.com","www.port-montreal.com"
,,,"Multilateral Investment Guarantee Agency","NULL","Multilateral Investment Guarantee Agency","Agence multilatérale de garantie des investissements","Finance","Finances","Flaherty, Jim (Hon.)","Minister of Finance","NULL","NULL","NULL","NULL","Flaherty, Jim (L'hon.)","ministre des Finances","NULL","NULL","NULL","NULL","Keiko Honda, Executive Vice-President","Keiko Honda, vice-présidente exécutive","<p>To encourage the flow of investments for productive purposes among member countries, thus supplementing the activities of the International Bank for Reconstruction and Development, the International Finance Corporation, and other international development finance institutions.</p>","<p>Encourager le flux des investissements &#224; des fins productives entre les pays membres, compl&#233;tant ainsi les activit&#233;s de la Banque internationale pour la reconstruction et le d&#233;veloppement, de la Soci&#233;t&#233; financi&#232;re internationale et d&#8217;autres institutions financi&#232;res de d&#233;veloppement international.</p>","International Organization","Organisations internationales","<p><em>Bretton Woods and Related Agreements Act</em>, R.S.C. 1985, c. B-7</p>","<p><em>Loi sur les accords de Bretton Woods et des accords connexes</em>, L.R.C. 1985, ch. B-7</p>","www.miga.org","www.miga.org"
