"Organisations","Vote*","Votestattype","Description","Description","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2012-13","Authority used in 2012-13"
"FTRAC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","4,622,943","4,622,943","6,062,129","6,062,129","4,622,943","4,622,943","6,062,129","6,062,129","5,113,972","5,113,972"
"FNSI","30",1,"Paiements versés à l'Institut de la statistique des Premières nations pour les dépenses de fonctionnement","Payments to the First Nations Statistical Institute for operating expenditures","5,000,000","2,615,000","5,000,000","3,957,000","5,000,000","2,615,000","5,000,000","3,957,000","5,000,000","2,028,410"
"FO","1",1,"Dépenses de fonctionnement","Operating expenditures","1,344,583,973","1,308,512,708","1,385,820,549","1,313,593,490","1,344,583,973","1,308,512,708","1,385,820,549","1,313,593,490","1,308,196,042","1,241,000,803"
"FO","5",2,"Dépenses en capital","Capital expenditures","453,686,346","420,442,927","366,802,585","299,588,070","453,686,346","420,442,927","366,802,585","299,588,070","396,353,393","307,868,372"
"FO","10",3,"Subventions et contributions","Grants and contributions","133,416,352","127,009,109","129,472,358","128,647,360","133,416,352","127,009,109","129,472,358","128,647,360","88,932,881","88,186,047"
"FO","(S)",999,"Ministre des Pêches et Océans--Traitement et allocation pour automobile","Minister of Fisheries and Oceans--Salary and motor car allowance","77,638","77,638","77,536","77,536","77,638","77,638","77,536","77,536","77,516","77,516"
"FO","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","14,085","14,085","10,005","10,005","14,085","14,085","10,005","10,005","33,575","33,575"
"FO","(S)",999,"Pertes sur opérations de change","Losses on foreign exchange",0,0,"15,934","15,934",0,0,"15,934","15,934",0,0
"FO","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","6,263,345","1,831,277","8,884,113","5,091,254","6,263,345","1,831,277","8,884,113","5,091,254","5,866,016","4,086,136"
"FO","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","135,011,736","135,011,736","133,859,117","133,859,117","135,011,736","135,011,736","133,859,117","133,859,117","135,852,795","135,852,795"
"EA","1",1,"Dépenses de fonctionnement","Operating expenditures","1,693,123,351","1,543,631,038","1,455,482,132","1,358,450,363","1,693,123,351","1,543,631,038","1,455,482,132","1,358,450,363","1,393,630,802","1,270,259,769"
"EA","5",2,"Dépenses en capital","Capital expenditures","234,346,481","190,642,416","227,740,097","167,282,401","234,346,481","190,642,416","227,740,097","167,282,401","341,230,392","268,087,804"
"EA","10",3,"Subventions et contributions","Grants and contributions","963,886,292","856,926,083","899,458,883","781,849,465","963,886,292","856,926,083","899,458,883","781,849,465","822,926,510","672,436,065"
"EA",12,9,"En vertu du paragraphe 4(3) de la Loi sur les fonds renouvelables (L.C. (1985), ch. R-8), pour augmenter de 4 000 000 $ à 89 000 000 $, à compter du 1er avril 2010 et jusqu’au 31 mars 2011, le montant duquel la totalité des dépenses effectuées aux fins du fonds peut excéder les recettes pour Passeport Canada","In accordance with subsection 4(3) of the Revolving Funds Act (R.S., 1985, c. R-8), to increase from$4,000,000 to $89,000,000, for the period commencing April 1, 2010 and ending March 31, 2011, the amount by which the aggregate of expenditures made for the purpose of the fund may exceed the revenues for Passport Canada",1,0,0,0,1,0,0,0,0,0
"EA","15",1,"Paiements au titre des programmes de pension, d'assurance et de sécurité sociale ou d'autres ententes pour les employés recrutés sur place à l'extérieur du Canada, ou au titre de l'administration de ces programmes ou conventions, y compris les primes, les ontributions, les paiements d'avantages, les frais et les autres dépenses engagées à l'égard des employés recrutés sur place à l'extérieur du Canada et pour les autres personnes que le Conseil du Trésor décidera","Payments, in respect of pension, insurance and social security programs or other arrangements for employees locally engaged outside of Canada or in respect of the administration of such programs or arrangements, including premiums, contributions, benefit payments, fees and other expenditures made in respect of employees locally engaged outside Canada and for such other persons, as Treasury Board determines",0,0,"70,140,001","59,841,306",0,0,"70,140,001","59,841,306","72,668,001","70,085,763"
"EA",15,9,"Fond renouvelable du Bureau des passeports-En vertu de l'article 12 de la Loi sur les fonds renouvelables (L.C. (1985), ch. R-8), pour modifier le paragraphe 4(3) de cette Loi afin d'augmenter de 4 000 000 $ à 131 204 000 $, à compter du 1er avril 2011 et","Passport Office Revolving Fund-In accordance with section 12 of the Revolving Funds Act (R.S., 1985, c. R-8), to amend subsection 4(3) of that Act by increasing from $4,000,000 to $131,204,000, for the period commencing April 1, 2011 and ending March 31, 2012 , the amount by which the aggregate of expenditures made for the purpose of the fund may exceed the revenues for Passport Canada.",0,0,2,0,0,0,2,0,0,0
"EA","(S)",999,"Ministre des Affaires étrangères--Traitement et allocation pour automobile","Minister of Foreign Affairs--Salary and motor car allowance","77,638","77,638","77,850","77,850","77,638","77,638","77,850","77,850","77,516","77,516"
"EA","(S)",999,"Ministre du Commerce international et ministre de la porte d'entrée de l'Asie-Pacifique--Traitement et allocation pour automobile","Minister of International Trade and Minister for the Asia-Pacific Gateway--Salary and motor car allowance","77,638","77,638","77,223","77,223","77,638","77,638","77,223","77,223","77,516","77,516"
"EA","(S)",999,"Ministre d'État des Affaires étrangères (Amériques et Affaires consulaires)--Allocation pour automobile","Minister of State of Foreign Affairs (Americas and Consular Affairs)--Motor car allowance","2,122","2,122","2,020","2,020","2,122","2,122","2,020","2,020","2,000","2,000"
"EA","(S)",999,"Montants adjugés par une cour","Court awards","10,937","10,937","2,434","2,434","10,937","10,937","2,434","2,434","28,693","28,693"
"EA","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","104,163","104,163",0,0,"104,163","104,163",0,0,"3,264","3,264"
"EA","(S)",999,"Honoraires  Agence de recouvrement","Collection agency fees","3,216","3,216",189,189,"3,216","3,216",189,189,0,0
"EA","(S)",999,"Pertes d'opérations de change","Losses on foreign exchange","183,416,108","183,416,108","2,206,688","2,206,688","183,416,108","183,416,108","2,206,688","2,206,688","1,891,103","1,891,103"
"EA","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","1,934,499","938,591","3,179,280","3,017,379","1,934,499","938,591","3,179,280","3,017,379","3,046,512","2,285,478"
"EA","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","92,907,500","92,907,500","90,041,655","90,041,655","92,907,500","92,907,500","90,041,655","90,041,655","86,425,507","86,425,507"
"EA","(S)",999,"Une partie de l'autorisation budgétaire autoriséee en vertu de l'article 24 de la Loi sur le développement des exportations","Budgetary portion of authority granted pursuant to section 24 of the Export Development Act","-50,952,799","-50,952,799",0,0,"-50,952,799","-50,952,799",0,0,0,0
"EA","(S)",999,"Fonds renouvelable du bureau des Passeports","Passport Office Revolving Fund","132,936,931","16,791,745","158,349,186","19,528,819","132,936,931","16,791,745","158,349,186","19,528,819","138,820,367","23,139,633"
"EA","(S)",999,"Paiements en vertu de la Loi sur la pension spéciale du service diplomatique","Payments under the Diplomatic Service (Special) Superannuation Act","83,466","83,466","87,774","87,774","83,466","83,466","87,774","87,774","79,000","79,000"
"EA","(S)",999,"Frais administratif (Exportation et développement Canada)","Administrative fees (Export Development Canada)","7,127,601","7,127,601",0,0,"7,127,601","7,127,601",0,0,0,0
"GG","1",1,"Dépenses du programme","Program expenditures","18,125,795","17,446,351","19,786,196","18,898,965","18,125,795","17,446,351","19,786,196","18,898,965","18,298,987","17,993,226"
"GG","(S)",999,"Traitement du gouverneur général","Salary of the Governor General","130,732","130,732","134,221","134,220","130,732","130,732","134,221","134,220","170,776","170,776"
"GG","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",35,0,"11,805",0,35,0,"11,805",0,"29,252","17,557"
"GG","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","2,196,707","2,196,707","2,171,136","2,171,136","2,196,707","2,196,707","2,171,136","2,171,136","2,110,815","2,110,815"
"GG","(S)",999,"Pensions payables en vertu de la Loi sur le gouverneur général","Annuities payable under the Governor General's Act","450,004","450,004","523,069","523,069","450,004","450,004","523,069","523,069","536,517","536,517"
"HMIRC","40",1,"Dépenses du programme","Program expenditures","5,347,307","5,440,827","4,211,451","3,937,785","5,347,307","5,440,827","4,211,451","3,937,785","4,462,748","4,326,309"
"HMIRC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","625,542","625,542","593,184","593,184","625,542","625,542","593,184","593,184","559,062","559,062"
"H","1",1,"Dépenses de fonctionnement","Operating expenditures","2,050,283,756","1,971,107,143","2,130,078,529","2,016,186,192","2,050,283,756","1,971,107,143","2,130,078,529","2,016,186,192","2,115,935,220","1,968,662,888"
"H","5",2,"Dépenses en capital","Capital expenditures","40,080,772","37,288,793","35,096,306","32,940,862","40,080,772","37,288,793","35,096,306","32,940,862","37,350,745","32,892,720"
"H","10",3,"Subventions et contributions","Grants and contributions","1,542,740,332","1,518,261,007","1,536,542,909","1,511,881,318","1,542,740,332","1,518,261,007","1,536,542,909","1,511,881,318","1,520,090,412","1,510,410,669"
"H","(S)",999,"Ministre de la Santé  Traitement et allocation pour automobile","Minister of Health  Salary and motor car allowance","77,638","77,638","77,536","77,536","77,638","77,638","77,536","77,536","77,516","77,516"
"H","(S)",999,"Montants adjugés par une cour","Court awards",0,0,"25,909","25,909",0,0,"25,909","25,909","9,774","9,774"
"H","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","297,383","297,383","687,771","687,771","297,383","297,383","687,771","687,771","536,789","536,789"
"H","(S)",999,"Honoraires  Agence de recouvrement","Collection agency fees","17,714","17,714","12,919","12,919","17,714","17,714","12,919","12,919","4,131","4,131"
"H","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","652,100","40,822","494,907","122,594","652,100","40,822","494,907","122,594","646,508","56,458"
"H","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","133,646,560","133,646,560","136,483,945","136,483,945","133,646,560","133,646,560","136,483,945","136,483,945","138,754,341","138,754,341"
"H","(S)",999,"Dépenses des recettes conformément au paragraphe 4.2 de la Loi sur le ministère de la Santé","Spending of Revenues pursuant to section 4.2 of the Department of Health Act",0,0,0,0,0,0,0,0,"47,260,672","47,260,672"
"H","(S)",999,"Inforoute Santé du Canada Inc.","Canada Health Infoway Inc.","91,837,792","91,837,792","87,880,640","87,880,640","91,837,792","91,837,792","87,880,640","87,880,640","122,492,128","122,492,128"
"HC","5",1,"Dépenses de programme","Program expenditures","290,992,318","274,478,137","294,169,478","274,982,549","290,992,318","274,478,137","294,169,478","274,982,549","307,991,350","287,012,457"
"HC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","35,346,405","35,346,405","35,017,888","35,017,888","35,346,405","35,346,405","35,017,888","35,017,888","34,910,301","34,910,301"
"HC","(S)",999,"Députés--Traitements et indemnités des agents supérieurs et des députés de la Chambre des commune en vertu de la Loi sur le Parlement du Canada et contributions au compte d'allocations de retraites des parlementaires et au compte de convention de retraite des parlementaires","Members of the House of Commons--Salaries and allowance of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account","114,439,410","114,439,410","117,234,469","117,234,468","114,439,410","114,439,410","117,234,469","117,234,468","108,014,213","108,014,213"
"HRSD","1",1,"Dépenses de fonctionnement","Operating expenditures","763,863,486","743,219,321","783,436,633","769,346,179","763,863,486","743,219,321","783,436,633","769,346,179","686,464,467","654,522,570"
